City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
158,Jamestown,US,42.097,-79.2353,47.52,90,5,1.95,clear sky,0.0,0.0
159,Chapais,CA,49.7834,-74.8492,56.98,57,5,5.3,clear sky,0.0,0.0
160,Grootfontein,NA,-19.5667,18.1167,42.37,75,100,1.14,overcast clouds,0.0,0.0
161,Yaan,NG,7.3833,8.5667,76.55,88,100,7.4,overcast clouds,0.0,0.0
162,Port Blair,IN,11.6667,92.75,80.64,94,20,1.14,few clouds,0.0,0.0
163,Molokovo,RU,58.1661,36.7628,35.47,81,6,5.39,clear sky,0.0,0.0
164,Ust-Kulom,RU,61.6864,53.6902,38.19,63,7,6.29,clear sky,0.0,0.0
165,Tasiilaq,GL,65.6145,-37.6368,35.76,96,94,3.78,overcast clouds,0.0,0.0
166,Nemuro,JP,43.3236,145.575,45.03,79,87,19.98,overcast clouds,0.0,0.0
167,Mehamn,NO,71.0357,27.8492,42.26,97,100,25.23,overcast clouds,0.0,0.0
168,Saldanha,ZA,-33.0117,17.9442,51.85,86,93,4.76,light rain,0.25,0.0
169,New Norfolk,AU,-42.7826,147.0587,52.92,49,89,3.24,overcast clouds,0.0,0.0
170,Sainte-Marie,RE,-20.8968,55.5496,70.77,68,0,8.05,clear sky,0.0,0.0
171,Hovd,MN,48.0056,91.6419,52.77,27,4,4.99,clear sky,0.0,0.0
172,Loandjili,CG,-4.7561,11.8578,77.11,94,75,3.44,broken clouds,0.0,0.0
173,Sistranda,NO,63.7256,8.834,45.9,90,100,8.52,overcast clouds,0.0,0.0
174,Oistins,BB,13.0667,-59.5333,80.69,65,75,19.57,broken clouds,0.0,0.0
175,Beaverlodge,CA,55.2166,-119.4361,65.55,59,100,13.22,overcast clouds,0.0,0.0
176,Itarema,BR,-2.9248,-39.9167,76.26,85,20,10.92,few clouds,0.0,0.0
177,Anchorage,US,61.2181,-149.9003,61.68,54,90,1.01,overcast clouds,0.0,0.0
178,Talnakh,RU,69.4865,88.3972,34.43,100,100,5.55,light rain,0.47,0.0
179,Krasnyye Chetai,RU,55.6887,46.1386,41.09,89,100,12.84,overcast clouds,0.0,0.0
180,Marshall,US,34.3834,-86.3333,64.71,85,0,4.43,clear sky,0.0,0.0
181,Mykolayivka,UA,47.5414,30.7561,52.36,91,93,6.51,overcast clouds,0.0,0.0
182,Staicele,LV,57.8364,24.75,43.38,78,15,3.91,few clouds,0.0,0.0
183,Saint George,US,37.1041,-113.5841,90.19,12,1,1.99,clear sky,0.0,0.0
184,Kieta,PG,-6.2167,155.6333,85.01,72,58,5.19,light rain,0.32,0.0
185,Port Antonio,JM,18.18,-76.4612,84.11,83,100,8.81,overcast clouds,0.0,0.0
186,Soyaux,FR,45.65,0.2,56.23,71,0,3.44,clear sky,0.0,0.0
187,Klaksvik,FO,62.2266,-6.589,52.72,92,4,19.35,clear sky,0.0,0.0
188,Pangnirtung,CA,66.1451,-65.7125,31.84,99,100,0.85,light snow,0.0,0.22
189,Manokwari,ID,-0.8667,134.0833,84.06,73,97,6.35,moderate rain,1.15,0.0
190,Sur,OM,22.5667,59.5289,88.92,45,99,10.31,overcast clouds,0.0,0.0
191,Saint-Georges,GD,12.0564,-61.7485,82.08,78,40,17.27,scattered clouds,0.0,0.0
192,Bairiki,KI,1.3292,172.9752,86.0,70,20,14.29,few clouds,0.0,0.0
193,Green River,US,41.5286,-109.4662,63.0,38,49,18.12,scattered clouds,0.0,0.0
194,Longyearbyen,SJ,78.2186,15.6401,33.64,75,90,1.14,overcast clouds,0.0,0.0
195,Kambove,CD,-10.8764,26.5969,50.59,55,5,4.52,clear sky,0.0,0.0
196,Snezhnogorsk,RU,69.1933,33.2531,40.78,85,100,13.85,overcast clouds,0.0,0.0
197,Avera,US,33.194,-82.5271,63.91,64,0,7.11,clear sky,0.0,0.0
198,Pueblo Nuevo,MX,23.3833,-105.3833,60.06,73,0,4.09,clear sky,0.0,0.0
199,Nantucket,US,41.2835,-70.0995,55.15,97,100,11.77,overcast clouds,0.0,0.0
200,Barcelos,PT,41.5388,-8.6151,64.92,90,5,3.11,clear sky,0.0,0.0
201,Nalut,LY,30.3333,10.85,76.96,32,16,10.18,few clouds,0.0,0.0
202,Abha,SA,18.2164,42.5053,64.22,29,0,4.68,clear sky,0.0,0.0
203,Zhangye,CN,38.9342,100.4517,67.15,17,10,14.05,clear sky,0.0,0.0
204,Araouane,ML,18.9048,-3.5265,91.56,10,91,7.16,overcast clouds,0.0,0.0
205,Dwarka,IN,22.2394,68.9678,83.48,77,66,15.75,broken clouds,0.0,0.0
206,Rabo De Peixe,PT,37.8,-25.5833,60.31,82,20,6.73,few clouds,0.0,0.0
207,Hasaki,JP,35.7333,140.8333,77.18,60,0,11.12,clear sky,0.0,0.0
208,Port Lincoln,AU,-34.7333,135.8667,59.5,36,100,16.28,overcast clouds,0.0,0.0
209,Barkot,IN,30.8167,78.2,72.59,60,0,1.92,clear sky,0.0,0.0
210,Taree,AU,-31.9,152.4667,65.07,55,40,10.36,scattered clouds,0.0,0.0
211,Vila Velha,BR,-20.3297,-40.2925,75.94,87,20,4.0,few clouds,0.0,0.0
212,Eyl,SO,7.9803,49.8164,77.56,80,100,16.33,overcast clouds,0.0,0.0
213,Livingstonia,MW,-10.606,34.1063,55.9,75,3,0.94,clear sky,0.0,0.0
214,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,8.05,clear sky,0.0,0.0
215,Yamada,JP,39.4667,141.95,63.12,60,74,6.87,broken clouds,0.0,0.0
216,Roald,NO,62.5833,6.1333,50.05,93,90,5.75,overcast clouds,0.0,0.0
217,Zyryanka,RU,65.75,150.85,64.81,30,23,15.48,few clouds,0.0,0.0
218,Staraya Poltavka,RU,50.4772,46.4814,64.22,90,85,5.06,overcast clouds,0.0,0.0
219,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,75,17.27,broken clouds,0.0,0.0
