City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Shahrud,IR,75.58,clear sky,36.4182,54.9763,Royal Hotel
241,Locri,IT,64.17,clear sky,38.2414,16.2623,Grand Hotel President
243,Tecolutla,MX,80.65,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
244,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
245,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
246,Kuah,MY,87.8,few clouds,6.3265,99.8432,Azio Hotel
247,Eureka,US,65.91,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
249,Camacari,BR,78.57,broken clouds,-12.6975,-38.3242,Hotel Cambuci
251,Nanhai,CN,80.82,broken clouds,30.1282,111.7784,Jingnan Hotel
252,Falam,MM,75.79,few clouds,22.9167,93.6833,Falang Government Guesthouse
253,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
254,Riyadh,SA,87.85,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
255,Canto Do Buriti,BR,70.9,scattered clouds,-8.11,-42.9444,Novo Hotel
258,Zhaozhou,CN,74.23,few clouds,45.6833,125.3167,East Hotel
260,Mut,TR,64.92,clear sky,36.6439,33.4389,Konak Otel
261,Eregli,TR,60.96,overcast clouds,37.5133,34.0467,Hotel Fuat Bey
264,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
265,Hami,CN,74.73,clear sky,42.8,93.45,Laoyutang Resort
266,Oyo,NG,73.78,broken clouds,7.85,3.9333,Gold N Rock Hotel Nigeria Limited
268,Sabha,LY,80.28,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
269,Choix,MX,87.57,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
270,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
271,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
272,San Matias,BO,79.23,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
274,Airai,TL,71.67,overcast clouds,-8.9266,125.4092,Juvinal Martin
278,Kontagora,NG,80.38,scattered clouds,10.3999,5.4695,Queens Guest Inn
282,Kushima,JP,81.91,clear sky,31.4583,131.2333,Hanaoka
283,Vung Tau,VN,84.7,few clouds,10.346,107.0843,Green hotel
285,Les Cayes,HT,77.56,overcast clouds,18.2,-73.75,Villa Orphee
286,Vao,NC,70.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
287,Vanimo,PG,85.35,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
290,Pingliang,CN,72.32,overcast clouds,35.5392,106.6861,North Gate Hostel
291,Aksu,CN,80.6,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
293,Ixtapa,MX,79.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
294,Pouebo,NC,72.86,broken clouds,-20.4,164.5667,Rural Family Home De Pouébo
298,Korla,CN,79.5,clear sky,41.7597,86.1469,Gulisitan Hotel
299,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
301,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Zemio,CF,70.36,few clouds,5.0314,25.1361,OCHA Office
309,Susangerd,IR,89.62,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
311,Pasighat,IN,79.7,broken clouds,28.0667,95.3333,Siang Guest House
313,Carutapera,BR,76.1,clear sky,-1.195,-46.02,Lidera
314,Balkanabat,TM,81.52,clear sky,39.5108,54.3671,Nebitchi Hotel
315,Port Macquarie,AU,66.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
316,Nikki,BJ,76.1,overcast clouds,9.9401,3.2108,Hotel John
317,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
318,Havelock,US,60.8,overcast clouds,34.8791,-76.9013,Sherwood Motel
320,Karakol,KG,62.83,overcast clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
321,Mansar,IN,85.73,overcast clouds,21.4,79.25,OYO 69410 Sip & Bite Restaurant N Lodging
324,Daru,PG,81.77,overcast clouds,-9.0763,143.2092,Daru Lodge
325,Rosarito,MX,64.63,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
327,Jumla,NP,63.37,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
330,San Pedro De Macoris,DO,78.49,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
333,Katsuura,JP,77.23,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
336,Coyaima,CO,74.64,broken clouds,3.7994,-75.1947,El Mirador del Triángulo
337,Lompoc,US,69.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
338,Guerrero Negro,MX,61.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
339,Kavaratti,IN,82.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
340,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
346,Katobu,ID,85.59,overcast clouds,-4.9408,122.5276,La Ode Husein
348,Tateyama,JP,78.15,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
349,Ribeira Brava,PT,64.0,few clouds,32.65,-17.0667,Hotel do Campo
350,Kaeo,NZ,63.32,clear sky,-35.1,173.7833,Bushido Lodge
351,Arkadelphia,US,65.68,scattered clouds,34.1209,-93.0538,COLLEGE INN MOTEL
352,Victor Harbor,AU,60.46,overcast clouds,-35.5667,138.6167,McCracken Country Club
353,Abeche,TD,84.33,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
354,Palauig,PH,88.11,overcast clouds,15.435,119.9045,Myhousebythesea
357,Parabel,RU,68.72,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
359,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
362,Luanda,AO,73.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
364,Bentiu,SS,86.59,broken clouds,9.2333,29.8333,Mandela hôtel
365,Richards Bay,ZA,62.29,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
366,Sorong,ID,79.66,overcast clouds,-0.8833,131.25,waigo splash hotel
368,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
370,Sidney,AU,65.77,few clouds,-33.8679,151.2073,The Grace Sydney
371,Ankang,CN,83.14,overcast clouds,32.68,109.0172,安琪酒店
373,Tocopilla,CL,66.24,broken clouds,-22.092,-70.1979,Hotel Galvarino
375,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
377,Kirakira,SB,81.79,broken clouds,-10.4544,161.9205,SanBiz Lodge
378,Charyshskoye,RU,63.46,clear sky,51.3978,83.5598,Gostinitsa Charysh
380,Santa Cruz,BO,62.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
383,Portland,US,82.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
385,Porto Santo,PT,63.3,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
387,Gerash,IR,75.34,clear sky,27.6652,54.1371,Sa'adat House
389,Gafargaon,BD,82.38,overcast clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
392,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
397,Ribeira Grande,PT,63.79,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
398,Huarmey,PE,67.26,overcast clouds,-10.0681,-78.1522,Hotel Miramar
400,Bilibino,RU,60.28,few clouds,68.0546,166.4372,Gostinitsa Severyanka
404,Krasnoarmeysk,RU,63.07,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
406,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
408,Astana,KZ,71.55,clear sky,51.1801,71.446,King Hotel Astana
412,Barranca,PE,64.69,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
414,Jalu,LY,77.09,clear sky,29.0331,21.5482,صاحبة الفخامة
416,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
417,West Wendover,US,79.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
419,Nagato,JP,75.65,clear sky,34.3833,131.2,いそう庵
420,Sakakah,SA,80.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
422,La Ronge,CA,64.65,broken clouds,55.1001,-105.2842,Northland Motor Hotel
423,Rosetta,EG,71.42,clear sky,31.4044,30.4164,Green Valley
424,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
425,Yenangyaung,MM,88.23,overcast clouds,20.4667,94.8833,Hotel Country
427,Batticaloa,LK,81.7,overcast clouds,7.7102,81.6924,Grand Star Guest House
430,Dhidhdhoo,MV,83.28,overcast clouds,6.8833,73.1,Dhidhoo beach
431,Gambela,ET,74.75,clear sky,8.25,34.5833,Solomon Debebe Hotel
432,Bardiyah,LY,69.12,clear sky,31.7561,25.0865,بورتو بردية
435,Jackson,US,87.67,clear sky,42.4165,-122.8345,Agate Village Apartments
436,Anzio,IT,61.86,broken clouds,41.4853,12.6179,Beauty Hotel & SPA
438,Sarakhs,IR,77.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
440,Kualakapuas,ID,86.16,few clouds,-3.0091,114.3876,Guest House Izonk
441,Sarh,TD,85.91,clear sky,9.1429,18.3923,Domicile 1sur le goudron
444,Pampa,US,72.55,broken clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
445,Kiama,AU,66.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
446,Kulhudhuffushi,MV,83.08,overcast clouds,6.6221,73.07,Haajy Guest House 1
447,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
